ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
N16-NHOWR-008,bird,rbc,howr,24,native,enriched,2016,4.63,13.01,-24.65,44.29,172,155,17
N16-NBIRD-013,bird,rbc,howr,9,nonnative,enriched,2016,8.48,13.12,-25.33,44.78,201,131,70
N16-NHOWR-001,bird,rbc,howr,18,nonnative,control,2016,6.62,14.53,-24.70,47.75,124,129,0
N16-NHOWR-002,bird,rbc,howr,21,native,control,2016,6.22,15.34,-23.20,48.90,118,129,0
N16-NHOWR-003,bird,rbc,howr,20,native,control,2016,6.17,15.50,-23.42,49.11,117,125,0
N16-NHOWR-004,bird,rbc,howr,20,native,control,2016,5.64,14.58,-24.75,47.78,117,125,0
15-NCACH-001,bird,rbc,cach,25,nonnative,control,2015,6.11,15.39,-23.39,48.75,119,143,0
15-NCACH-002,bird,rbc,cach,19,native,control,2015,6.83,15.17,-24.99,48.81,107,120,0
15-NCACH-003,bird,whole blood,cach,16,native,control,2015,5.95,14.69,-24.60,48.55,107,130,0
15-NCACH-004,bird,rbc,cach,22,native,control,2015,5.46,14.20,-24.78,45.14,116,127,0
15-NCACH-005,bird,rbc,cach,12,nonnative,control,2015,5.83,15.07,-24.14,47.95,107,121,0
15-NCACH-006,bird,rbc,cach,2,native,control,2015,5.68,15.27,-24.48,48.67,116,124,0
15-NCACH-007,bird,whole blood,cach,7,nonnative,control,2015,6.18,14.02,-23.98,47.19,118,135,0
15-NCACH-008,bird,rbc,cach,3,native,control,2015,6.40,15.14,-24.58,48.38,116,128,0
15-NCACH-008B,bird,rbc,cach,3,native,control,2015,6.16,14.78,-24.51,47.39,116,128,0
N15-NCACH-001,bird,rbc,cach,2,native,control,2015,5.79,14.99,-24.55,47.76,116,124,0
N15-NCACH-002,bird,rbc,cach,1,native,enriched,2015,5.61,10.40,-24.18,33.22,148,130,18
N15-NCACH-005,bird,rbc,cach,1,native,enriched,2015,6.14,15.14,-24.74,49.79,148,130,18
N15-NCACH-008,bird,whole blood,cach,16,native,enriched,2015,5.74,14.56,-23.45,47.30,156,130,26
N15-NCACH-011,bird,rbc,cach,1,native,control,2015,5.08,15.39,-24.48,49.06,117,130,0
